Time,hares,foxes
70.7,2708.9702,333.17267
70.8,2674.7944,334.6617
70.9,2640.8564,336.10016
71,2607.1648,337.48773
71.1,2573.7278,338.82416
71.2,2540.5532,340.10925
71.3,2507.6482,341.3428
71.4,2475.0198,342.52472
71.5,2442.6748,343.65488
71.6,2410.6196,344.73328
71.7,2378.8596,345.7599
71.8,2347.401,346.73477
71.9,2316.248,347.65796
72,2285.4062,348.52957
72.1,2254.8796,349.3498
72.2,2224.6724,350.11877
72.3,2194.7883,350.83673
72.4,2165.2305,351.5039
72.5,2136.0024,352.1206
72.6,2107.1064,352.68716
72.7,2078.545,353.20386
72.8,2050.3203,353.6711
72.9,2022.4342,354.0893
73,1994.8881,354.45886
73.1,1967.6831,354.78027
73.2,1940.8203,355.05396
73.3,1914.3003,355.28043
73.4,1888.1235,355.4602
73.5,1862.29,355.59384
73.6,1836.7998,355.6819
73.7,1811.6526,355.7249
73.8,1786.8479,355.72354
73.9,1762.3848,355.67834
74,1738.2623,355.58997
74.1,1714.4796,355.45905
74.2,1691.035,355.2862
74.3,1667.9271,355.0721
74.4,1645.1544,354.81747
74.5,1622.7148,354.52292
74.6,1600.6064,354.18918
74.7,1578.8271,353.81693
74.8,1557.3748,353.40686
74.9,1536.2467,352.95972
75,1515.4406,352.47617
75.1,1494.9536,351.95694
75.2,1474.7833,351.40277
75.3,1454.9266,350.81436
75.4,1435.3807,350.19244
75.5,1416.1427,349.53775
75.6,1397.2094,348.85098
75.7,1378.5775,348.13284
75.8,1360.244,347.3841
75.9,1342.2057,346.60544
76,1324.459,345.7976
76.1,1307.0007,344.96127
76.2,1289.8274,344.09717
76.3,1272.9355,343.20602
76.4,1256.3218,342.28848
76.5,1239.9825,341.3453
76.6,1223.9142,340.37714
76.7,1208.1134,339.38467
76.8,1192.5764,338.3686
76.9,1177.2998,337.32956
77,1162.2798,336.26825
77.1,1147.5131,335.18533
77.2,1132.9957,334.08142
77.3,1118.7245,332.9572
77.4,1104.6957,331.8133
77.5,1090.9056,330.6503
77.6,1077.3508,329.46887
77.7,1064.0278,328.2696
77.8,1050.9331,327.0531
77.9,1038.0631,325.81995
78,1025.4143,324.57074
78.1,1012.9833,323.30606
78.2,1000.76666,322.02646
78.3,988.7609,320.7325
78.4,976.9628,319.42474
78.5,965.36896,318.1037
78.6,953.97595,316.76993
78.7,942.7806,315.42392
78.8,931.77954,314.06622
78.9,920.96967,312.6973
79,910.3478,311.3177
79.1,899.91064,309.92783
79.2,889.6553,308.5282
79.3,879.5785,307.1193
79.4,869.67737,305.70157
79.5,859.9488,304.27545
79.6,850.38983,302.84137
79.7,840.9976,301.39978
79.8,831.7692,299.95108
79.9,822.7018,298.4957
80,813.7926,297.03403
80.1,805.0388,295.56644
80.2,796.43774,294.09335
80.3,787.9867,292.61517
80.4,779.6831,291.13217
80.5,771.52423,289.6448
80.6,763.5076,288.15338
80.7,755.63074,286.65823
80.8,747.89105,285.15973
80.9,740.2862,283.65814
81,732.8138,282.15387
81.1,725.4713,280.64716
81.2,718.2566,279.13834
81.3,711.1673,277.6277
81.4,704.20123,276.1155
81.5,697.35614,274.6021
81.6,690.6298,273.08774
81.7,684.0202,271.57263
81.8,677.52515,270.0571
81.9,671.1427,268.5414
