Time,x[1],x[2],x[3]
0.000419,-0.007149132,-0.16299598,0.053910647
0.00042,-0.0055164825,-0.1635314,0.053170573
0.000421,-0.0038785173,-0.16405937,0.052425284
0.000422,-0.0022353109,-0.16457988,0.051674806
0.000423,-0.0005869383,-0.16509286,0.050919168
0.000424,0.0010665249,-0.16559824,0.050158393
0.000425,0.0027250112,-0.166096,0.049392503
0.000426,0.004388437,-0.16658607,0.048621528
0.000427,0.006056725,-0.16706842,0.047845498
0.000428,0.0077297976,-0.16754298,0.047064435
0.000429,0.009407577,-0.1680097,0.046278372
0.00043,0.011089983,-0.16846852,0.045487337
0.000431,0.012776939,-0.16891943,0.044691358
0.000432,0.0144683635,-0.16936234,0.04389046
0.000433,0.016164176,-0.16979721,0.043084677
0.000434,0.017864296,-0.17022401,0.04227404
0.000435,0.019568644,-0.17064267,0.04145857
0.000436,0.021277137,-0.17105317,0.04063831
0.000437,0.022989694,-0.17145543,0.03981328
0.000438,0.02470623,-0.17184941,0.038983516
0.000439,0.026426662,-0.17223509,0.038149048
0.00044,0.028150907,-0.17261238,0.03730991
0.000441,0.029878888,-0.17298126,0.03646613
0.000442,0.03161052,-0.17334169,0.03561774
0.000443,0.03334571,-0.17369361,0.034764774
0.000444,0.03508438,-0.17403698,0.033907272
0.000445,0.036826443,-0.17437173,0.03304526
0.000446,0.038571805,-0.17469786,0.03217877
0.000447,0.04032039,-0.1750153,0.031307843
0.000448,0.042072102,-0.17532401,0.030432511
0.000449,0.043826856,-0.17562394,0.02955281
0.00045,0.045584567,-0.17591505,0.028668772
0.000451,0.047345143,-0.17619729,0.027780438
0.000452,0.049108498,-0.17647064,0.02688784
0.000453,0.05087454,-0.17673503,0.025991015
0.000454,0.05264318,-0.17699045,0.025090002
0.000455,0.05441433,-0.17723683,0.024184834
0.000456,0.05618789,-0.17747413,0.023275554
0.000457,0.057963785,-0.17770232,0.022362195
0.000458,0.059741918,-0.17792135,0.021444792
0.000459,0.061522197,-0.1781312,0.020523388
0.00046,0.06330453,-0.1783318,0.019598022
0.000461,0.06508882,-0.17852314,0.018668732
0.000462,0.06687498,-0.17870517,0.017735558
0.000463,0.06866291,-0.17887785,0.01679854
0.000464,0.070452526,-0.17904112,0.015857717
0.000465,0.07224372,-0.17919499,0.01491313
0.000466,0.07403641,-0.17933936,0.013964821
0.000467,0.07583049,-0.17947426,0.01301283
0.000468,0.07762588,-0.17959961,0.012057199
0.000469,0.07942247,-0.1797154,0.01109797
0.00047,0.081220165,-0.17982157,0.010135185
0.000471,0.08301888,-0.17991808,0.009168887
0.000472,0.084818505,-0.18000492,0.008199118
0.000473,0.086618945,-0.18008205,0.007225922
0.000474,0.088420115,-0.18014944,0.006249337
0.000475,0.09022192,-0.18020703,0.00526941
0.000476,0.092024244,-0.1802548,0.0042861863
0.000477,0.093827,-0.18029274,0.0032997094
0.000478,0.09563008,-0.18032078,0.0023100246
0.000479,0.097433396,-0.18033892,0.0013171766
0.00048,0.099236846,-0.18034711,0.00032121097
0.000481,0.101040326,-0.18034533,-0.00067782664
0.000482,0.10284374,-0.18033354,-0.0016798903
0.000483,0.10464698,-0.18031172,-0.0026849336
0.000484,0.106449954,-0.18027984,-0.00369291
0.000485,0.108252555,-0.18023784,-0.0047037727
0.000486,0.11005469,-0.18018574,-0.005717474
0.000487,0.111856245,-0.1801235,-0.006733967
0.000488,0.11365713,-0.18005106,-0.0077532027
0.000489,0.11545724,-0.17996842,-0.008775135
0.00049,0.11725647,-0.17987554,-0.009799715
0.000491,0.11905473,-0.1797724,-0.010826897
0.000492,0.120851904,-0.17965898,-0.0118566295
0.000493,0.12264789,-0.17953525,-0.012888863
0.000494,0.124442585,-0.17940119,-0.013923548
0.000495,0.1262359,-0.17925677,-0.0149606345
0.000496,0.1280277,-0.17910197,-0.016000072
0.000497,0.12981792,-0.17893676,-0.017041812
0.000498,0.13160643,-0.17876112,-0.0180858
0.000499,0.13339312,-0.17857502,-0.019131988
0.0005,0.1351779,-0.17837846,-0.020180324
0.000501,0.13696067,-0.17817141,-0.021230757
0.000502,0.13874131,-0.17795384,-0.022283234
0.000503,0.14051972,-0.17772573,-0.023337701
0.000504,0.1422958,-0.17748708,-0.024394112
0.000505,0.14406943,-0.17723784,-0.025452407
0.000506,0.14584053,-0.17697802,-0.026512537
0.000507,0.14760897,-0.17670758,-0.027574454
0.000508,0.14937465,-0.17642651,-0.028638098
0.000509,0.15113747,-0.17613481,-0.029703418
0.00051,0.15289733,-0.17583244,-0.03077036
0.000511,0.1546541,-0.17551939,-0.031838868
0.000512,0.1564077,-0.17519565,-0.032908887
0.000513,0.158158,-0.1748612,-0.033980366
0.000514,0.1599049,-0.17451602,-0.035053246
0.000515,0.1616483,-0.17416012,-0.036127474
0.000516,0.16338809,-0.17379346,-0.03720299
0.000517,0.16512415,-0.17341605,-0.03827975
0.000518,0.16685638,-0.17302786,-0.039357685
0.000519,0.16858467,-0.1726289,-0.040436745
0.00052,0.17030893,-0.17221911,-0.041516874
0.000521,0.17202903,-0.17179854,-0.042598013
0.000522,0.17374487,-0.17136715,-0.043680105
0.000523,0.17545635,-0.17092493,-0.0447631
0.000524,0.17716335,-0.17047188,-0.04584693
0.000525,0.17886576,-0.17000799,-0.04693155
0.000526,0.18056348,-0.16953324,-0.048016895
0.000527,0.1822564,-0.16904764,-0.049102906
0.000528,0.1839444,-0.16855118,-0.050189525
0.000529,0.1856274,-0.16804384,-0.051276695
0.00053,0.18730527,-0.16752562,-0.052364357
0.000531,0.1889779,-0.16699654,-0.053452455
0.000532,0.19064517,-0.16645657,-0.054540925
0.000533,0.192307,-0.16590571,-0.055629708
0.000534,0.19396326,-0.16534397,-0.056718748
0.000535,0.19561385,-0.16477133,-0.057807986
0.000536,0.19725867,-0.1641878,-0.058897357
0.000537,0.19889759,-0.16359338,-0.059986804
0.000538,0.2005305,-0.16298805,-0.06107627
0.000539,0.2021573,-0.16237184,-0.06216569
0.00054,0.20377791,-0.16174474,-0.063255005
0.000541,0.20539218,-0.16110674,-0.06434416
0.000542,0.20700002,-0.16045785,-0.065433085
0.000543,0.20860131,-0.15979807,-0.06652173
0.000544,0.21019596,-0.1591274,-0.06761002
0.000545,0.21178384,-0.15844585,-0.0686979
0.000546,0.21336485,-0.15775344,-0.06978531
0.000547,0.21493888,-0.15705013,-0.07087219
0.000548,0.21650583,-0.15633598,-0.071958475
0.000549,0.21806557,-0.15561096,-0.0730441
0.00055,0.21961802,-0.15487508,-0.074129
0.000551,0.22116305,-0.15412837,-0.07521313
0.000552,0.22270055,-0.15337083,-0.076296404
0.000553,0.22423044,-0.15260245,-0.07737878
0.000554,0.22575258,-0.15182325,-0.07846018
0.000555,0.22726686,-0.15103324,-0.07954054
0.000556,0.2287732,-0.15023243,-0.08061982
0.000557,0.23027149,-0.14942084,-0.08169794
0.000558,0.2317616,-0.14859846,-0.08277484
0.000559,0.23324344,-0.14776534,-0.08385045
