Time,hares,foxes
852,3197.3552,307.8422
853,2838.8135,327.1554
854,2499.209,341.64975
855,2187.1392,351.01083
856,1907.5236,355.3285
857,1662.0305,355.00772
858,1449.8654,350.65475
859,1268.6339,342.9697
860,1115.0929,332.66208
861,985.7078,320.3948
862,877.01733,306.75296
863,785.83984,292.2318
864,709.3673,277.2367
865,645.18756,262.0902
866,591.26624,247.0427
867,545.9078,232.28334
868,507.71063,217.95119
869,475.52112,204.14468
870,448.3922,190.9301
871,425.54712,178.3485
872,406.34836,166.42134
873,390.27213,155.15526
874,376.8873,144.54556
875,365.83832,134.57933
876,356.8312,125.23758
877,349.6224,116.497154
878,344.00967,108.332085
879,339.82486,100.71468
880,336.9278,93.61637
881,335.20166,87.00833
882,334.549,80.861946
883,334.88867,75.149185
884,336.153,69.84284
885,338.28607,64.91671
886,341.24155,60.345715
887,344.98157,56.105972
888,349.4754,52.174854
889,354.69855,48.53096
890,360.6319,45.154156
891,367.26102,42.02551
892,374.57568,39.127277
893,382.56934,36.442863
894,391.23874,33.95676
895,400.58362,31.654512
896,410.6064,29.522646
897,421.31198,27.548628
898,432.70758,25.720808
899,444.80246,24.028368
900,457.60797,22.46127
901,471.13736,21.0102
902,485.40558,19.666536
903,500.4294,18.422287
904,516.2273,17.27006
905,532.8193,16.203012
906,550.22705,15.21482
907,568.4739,14.299634
908,587.58453,13.452053
909,607.58545,12.667089
910,628.50464,11.940138
911,650.3715,11.266949
912,673.2173,10.643604
913,697.07465,10.066491
914,721.9779,9.532281
915,747.963,9.03791
916,775.06775,8.580559
917,803.33136,8.157634
918,832.7949,7.7667537
919,863.5014,7.4057326
920,895.49536,7.07257
921,928.8234,6.765433
922,963.5338,6.4826493
923,999.67694,6.2226977
924,1037.305,5.9841948
925,1076.4723,5.765891
926,1117.2351,5.5666623
927,1159.6516,5.3855033
928,1203.7823,5.2215247
929,1249.6898,5.0739455
930,1297.4386,4.942094
931,1347.0955,4.8254037
932,1398.7292,4.723413
933,1452.411,4.6357665
934,1508.2139,4.562215
935,1566.2128,4.5026207
936,1626.4847,4.456962
937,1689.1089,4.425341
938,1754.1658,4.407991
939,1821.7374,4.4052896
940,1891.9075,4.417775
941,1964.7603,4.4461637
942,2040.3811,4.4913735
943,2118.855,4.5545535
944,2200.267,4.637119
945,2284.7012,4.7407947
946,2372.2388,4.867669
947,2462.9585,5.0202603
948,2556.9346,5.2015963
949,2654.2344,5.415314
950,2754.918,5.665786
951,2859.0332,5.958269
952,2966.6143,6.2991004
953,3077.677,6.695929
954,3192.2134,7.158015
955,3310.1858,7.6965995
956,3431.5186,8.32537
957,3556.0881,9.061047
958,3683.711,9.924113
959,3814.1262,10.939746
960,3946.9783,12.138971
961,4081.7903,13.560123
962,4217.9336,15.250657
963,4354.59,17.26939
964,4490.7026,19.689249
965,4624.9214,22.600557
966,4755.5303,26.114876
967,4880.371,30.369287
968,4996.7515,35.530853
969,5101.3535,41.800606
970,5190.154,49.41597
971,5258.3667,58.64975
972,5300.461,69.802864
973,5310.2856,83.18703
974,5281.373,99.09289
975,5207.4756,117.73994
976,5083.3726,139.20772
977,4905.9033,163.35478
978,4675.0728,189.74217
979,4394.931,217.58893
980,4073.8782,245.7895
981,3724.099,273.0119
982,3360.127,297.86746
983,2996.8486,319.11148
984,2647.5273,335.81747
985,2322.3684,347.4768
986,2027.911,354.00754
987,1767.1886,355.68762
988,1540.3958,353.04785
989,1345.7487,346.7586
990,1180.3014,337.53375
991,1040.593,326.06216
992,923.0959,312.9661
993,824.4865,298.7814
994,741.7843,283.9529
995,672.4011,268.83893
996,614.1381,253.7206
997,565.1544,238.81297
998,523.9231,224.27615
999,489.1855,210.22556
1000,459.90732,196.74088
1000,459.90732,196.74088
